filepath,x,y,z,undulation,roll,pitch,yaw
reference_views/00001.png,4023518.0,510303.75,4906569.65,47.8,0.0,0.0,0.0
reference_views/00002.png,4023484.45,510291.89,4906597.63,47.8,0.0,0.0,0.0
reference_views/00003.png,4023450.33,510280.27,4906625.29,47.8,0.0,0.0,0.0
reference_views/00004.png,4023416.03,510268.62,4906652.85,47.8,0.0,0.0,0.0
reference_views/00005.png,4023381.83,510256.78,4906680.47,47.8,0.0,0.0,0.0
reference_views/00006.png,4023347.73,510244.73,4906708.07,47.8,0.0,0.0,0.0
reference_views/00007.png,4023313.44,510232.68,4906735.57,47.8,0.0,0.0,0.0
reference_views/00008.png,4023279.17,510220.97,4906763.29,47.8,0.0,0.0,0.0
reference_views/00009.png,4023245.23,510209.26,4906791.43,47.8,0.0,0.0,0.0
reference_views/00010.png,4023211.96,510197.37,4906819.98,47.8,0.0,0.0,0.0
reference_views/00011.png,4023179.61,510185.61,4906849.17,47.8,0.0,0.0,0.0
reference_views/00012.png,4023147.55,510173.76,4906878.11,47.8,0.0,0.0,0.0
reference_views/00013.png,4023115.14,510161.58,4906906.32,47.8,0.0,0.0,0.0
reference_views/00014.png,4023082.85,510148.99,4906934.4,47.8,0.0,0.0,0.0
reference_views/00015.png,4023051.13,510136.47,4906962.83,47.8,0.0,0.0,0.0
reference_views/00016.png,4023019.2,510124.18,4906990.91,47.8,0.0,0.0,0.0
reference_views/00017.png,4022986.73,510112.02,4907018.35,47.8,0.0,0.0,0.0
reference_views/00018.png,4022954.23,510099.99,4907045.87,47.8,0.0,0.0,0.0
reference_views/00019.png,4022921.48,510088.22,4907073.49,47.8,0.0,0.0,0.0
reference_views/00020.png,4022888.73,510076.59,4907101.25,47.8,0.0,0.0,0.0
reference_views/00021.png,4022855.79,510064.89,4907128.86,47.8,0.0,0.0,0.0
reference_views/00022.png,4022821.33,510052.52,4907157.43,47.8,0.0,0.0,0.0
reference_views/00023.png,4022788.16,510040.41,4907184.98,47.8,0.0,0.0,0.0
reference_views/00024.png,4022755.05,510028.1,4907212.63,47.8,0.0,0.0,0.0
reference_views/00025.png,4022721.74,510015.71,4907240.14,47.8,0.0,0.0,0.0
reference_views/00026.png,4022688.58,510003.28,4907267.79,47.8,0.0,0.0,0.0
reference_views/00027.png,4022655.01,509991.04,4907295.16,47.8,0.0,0.0,0.0
reference_views/00028.png,4022621.64,509979.3,4907322.97,47.8,0.0,0.0,0.0
reference_views/00029.png,4022588.41,509967.3,4907350.7,47.7,0.0,0.0,0.0
reference_views/00030.png,4022554.93,509955.0,4907378.22,47.7,0.0,0.0,0.0
reference_views/00031.png,4022521.9,509942.67,4907406.4,47.7,0.0,0.0,0.0
reference_views/00032.png,4022488.74,509930.27,4907434.39,47.7,0.0,0.0,0.0
reference_views/00033.png,4022455.33,509917.94,4907462.39,47.7,0.0,0.0,0.0
reference_views/00034.png,4022421.77,509905.53,4907490.62,47.7,0.0,0.0,0.0
reference_views/00035.png,4022388.06,509893.11,4907518.89,47.7,0.0,0.0,0.0
reference_views/00036.png,4022354.08,509880.69,4907547.04,47.7,0.0,0.0,0.0
reference_views/00037.png,4022320.23,509868.27,4907575.35,47.7,0.0,0.0,0.0
reference_views/00038.png,4022286.9,509856.11,4907604.18,47.7,0.0,0.0,0.0
reference_views/00039.png,4022253.3,509843.84,4907632.46,47.7,0.0,0.0,0.0
reference_views/00040.png,4022219.72,509831.74,4907660.64,47.7,0.0,0.0,0.0
reference_views/00041.png,4022186.44,509819.71,4907688.8,47.7,0.0,0.0,0.0
reference_views/00042.png,4022153.44,509807.79,4907716.71,47.7,0.0,0.0,0.0
reference_views/00043.png,4022120.89,509796.08,4907744.47,47.7,0.0,0.0,0.0
reference_views/00044.png,4022088.31,509784.54,4907771.69,47.7,0.0,0.0,0.0
reference_views/00045.png,4022055.33,509773.03,4907798.25,47.7,0.0,0.0,0.0
reference_views/00046.png,4022022.52,509761.75,4907824.98,47.7,0.0,0.0,0.0
reference_views/00047.png,4021989.79,509750.66,4907851.9,47.7,0.0,0.0,0.0
reference_views/00048.png,4021956.75,509739.38,4907878.43,47.7,0.0,0.0,0.0
reference_views/00049.png,4021923.88,509727.96,4907905.1,47.7,0.0,0.0,0.0
reference_views/00050.png,4021891.08,509716.49,4907931.82,47.7,0.0,0.0,0.0
reference_views/00051.png,4021857.75,509704.97,4907958.33,47.7,0.0,0.0,0.0
reference_views/00052.png,4021824.5,509693.49,4907985.06,47.7,0.0,0.0,0.0
reference_views/00053.png,4021791.36,509682.17,4908012.07,47.7,0.0,0.0,0.0
reference_views/00054.png,4021758.03,509671.01,4908039.02,47.7,0.0,0.0,0.0
reference_views/00055.png,4021724.74,509660.09,4908066.35,47.7,0.0,0.0,0.0
reference_views/00056.png,4021691.3,509649.46,4908093.68,47.7,0.0,0.0,0.0
reference_views/00057.png,4021658.39,509639.35,4908121.74,47.7,0.0,0.0,0.0
reference_views/00058.png,4021625.78,509629.21,4908150.46,47.7,0.0,0.0,0.0
reference_views/00059.png,4021593.01,509618.86,4908178.93,47.7,0.0,0.0,0.0
reference_views/00060.png,4021560.0,509608.3,4908207.15,47.7,0.0,0.0,0.0
reference_views/00061.png,4021526.58,509597.66,4908235.02,47.7,0.0,0.0,0.0
reference_views/00062.png,4021492.96,509587.01,4908262.77,47.7,0.0,0.0,0.0
reference_views/00063.png,4021458.84,509576.14,4908289.97,47.7,0.0,0.0,0.0
reference_views/00064.png,4021424.5,509564.75,4908316.97,47.7,0.0,0.0,0.0
reference_views/00065.png,4021390.48,509552.74,4908344.32,47.7,0.0,0.0,0.0
reference_views/00066.png,4021356.21,509540.52,4908371.41,47.7,0.0,0.0,0.0
reference_views/00067.png,4021322.14,509528.3,4908398.83,47.7,0.0,0.0,0.0
reference_views/00068.png,4021288.17,509515.97,4908426.34,47.7,0.0,0.0,0.0
reference_views/00069.png,4021254.28,509503.49,4908453.91,47.7,0.0,0.0,0.0
reference_views/00070.png,4021220.23,509490.56,4908481.31,47.7,0.0,0.0,0.0
reference_views/00071.png,4021186.23,509476.93,4908508.67,47.7,0.0,0.0,0.0
reference_views/00072.png,4021152.73,509462.38,4908536.19,47.7,0.0,0.0,0.0
reference_views/00073.png,4021119.38,509446.8,4908563.59,47.7,0.0,0.0,0.0
reference_views/00074.png,4021086.4,509429.83,4908590.96,47.7,0.0,0.0,0.0
reference_views/00075.png,4021054.35,509411.02,4908618.32,47.7,0.0,0.0,0.0
reference_views/00076.png,4021023.08,509389.95,4908645.07,47.7,0.0,0.0,0.0
reference_views/00077.png,4020992.66,509366.59,4908671.08,47.7,0.0,0.0,0.0
reference_views/00078.png,4020962.67,509341.38,4908696.06,47.7,0.0,0.0,0.0
reference_views/00079.png,4020933.65,509314.63,4908720.81,47.7,0.0,0.0,0.0
reference_views/00080.png,4020905.73,509286.58,4908745.62,47.7,0.0,0.0,0.0
reference_views/00081.png,4020878.84,509257.36,4908770.23,47.7,0.0,0.0,0.0
reference_views/00082.png,4020853.52,509227.08,4908794.88,47.7,0.0,0.0,0.0
reference_views/00083.png,4020829.94,509195.94,4908819.36,47.7,0.0,0.0,0.0
reference_views/00084.png,4020807.78,509164.02,4908843.19,47.7,0.0,0.0,0.0
reference_views/00085.png,4020786.39,509131.27,4908865.7,47.7,0.0,0.0,0.0
reference_views/00086.png,4020765.64,509097.7,4908887.12,47.7,0.0,0.0,0.0
reference_views/00087.png,4020745.18,509063.39,4908907.43,47.7,0.0,0.0,0.0
